"date_start","country_territory_area","Mask","Business","Gathering","School","Movement","Travel","Binary","Ordinal"
2020-06-06,"China",NA,NA,NA,NA,NA,NA,0,2
2020-06-07,"China",NA,NA,5,NA,NA,NA,0,1
2020-06-08,"China",NA,NA,NA,NA,NA,NA,1,6
2020-06-09,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-06-10,"China",NA,47,NA,NA,NA,NA,0,2
2020-06-11,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-06-12,"China",NA,NA,NA,NA,NA,NA,0,3
2020-06-13,"China",NA,NA,NA,NA,NA,NA,0,5
2020-06-14,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-06-15,"China",NA,NA,NA,NA,NA,NA,0,6
2020-06-16,"China",NA,NA,NA,NA,NA,NA,0,5
2020-06-17,"China",NA,NA,NA,NA,NA,NA,0,6
2020-06-18,"China",NA,NA,NA,NA,NA,NA,0,2
2020-06-19,"China",NA,NA,NA,NA,NA,NA,0,2
2020-06-20,"China",NA,47,NA,NA,NA,NA,0,2
2020-06-21,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-06-22,"China",NA,NA,NA,NA,NA,NA,0,6
2020-06-23,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-06-24,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-06-25,"China",NA,NA,NA,NA,NA,17,0,1
2020-06-26,"China",NA,NA,NA,NA,NA,NA,0,5
2020-06-27,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-06-28,"China",NA,NA,NA,NA,NA,NA,1,3
2020-06-29,"China",NA,NA,NA,NA,NA,NA,0,6
2020-06-30,"China",NA,NA,NA,NA,NA,NA,0,5
2020-07-01,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-07-02,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-07-03,"China",NA,47,NA,NA,NA,NA,0,2
2020-07-04,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-07-05,"China",NA,67,NA,NA,NA,NA,1,2
2020-07-06,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-07-07,"China",NA,NA,NA,55,NA,NA,0,3
2020-07-08,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-07-09,"China",NA,NA,NA,NA,NA,NA,1,2
2020-07-10,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-07-11,"China",NA,NA,NA,NA,NA,NA,0,2
2020-07-12,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-07-13,"China",NA,NA,NA,NA,NA,NA,1,6
2020-07-14,"China",NA,47,NA,NA,NA,NA,0,2
2020-07-15,"China",NA,NA,NA,NA,NA,NA,1,4
2020-07-16,"China",NA,NA,NA,NA,NA,NA,0,6
2020-07-17,"China",NA,47,NA,NA,NA,NA,0,2
2020-07-18,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-07-19,"China",NA,NA,NA,NA,NA,NA,0,5
2020-07-20,"China",NA,47,NA,NA,NA,NA,1,2
2020-07-21,"China",NA,NA,NA,NA,NA,NA,0,3
2020-07-22,"China",NA,NA,NA,NA,NA,NA,0,2
2020-07-23,"China",NA,NA,NA,NA,NA,NA,0,3
2020-07-24,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-07-25,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-07-26,"China",NA,NA,NA,NA,NA,17,0,1
2020-07-27,"China",NA,NA,NA,NA,0,NA,0,1
2020-07-28,"China",NA,NA,NA,NA,NA,NA,1,2
